07005;104000;96450;100736.100478469
07015;104280;96830;101008.209159262
07020;104780;96850;101439.796059454
07027;104040;96340;100828.658912077
07037;102920;95460;99816.3555555556
07072;103530;96400;100527.475196716
07110;103610;96470;100475.986999658
07117;104120;96200;100912.837001376
07130;104250;97000;101234.710715508
07139;102910;95480;99961.1322714681
07149;103560;96190;100601.227770178
07168;103070;96070;100300.97127223
07181;100250;93770;97666.2529996572
07190;102670;96240;99946.2435853575
07207;104110;97170;101187.339385475
07222;104170;97420;101393.555555556
07240;103050;96190;100375.401709402
07255;102210;95760;99778.0437756498
07280;101420;95280;99064.301369863
07299;101000;94910;98542.1511627907
07314;103940;97570;101536.997008227
07335;102730;96460;100322.019822283
07434;98920;93470;97041.1111111111
07460;99970;94330;97922.3768216516
07471;93830;88850;92232.0798794273
07481;101030;95420;98943.0871794872
07510;103320;97930;101245.666438824
07535;100500;95500;98736.1881868132
07558;95020;90440;93530.8621279507
07577;102950;97620;100890.619863014
07591;93460;88590;91689.4794520548
07607;103140;98130;101147.042108867
07621;99470;94700;97576.3268108479
07627;98800;93880;97002.2702331962
07630;101920;96740;100063.691045796
07643;103550;98600;101663.762203626
07650;103150;98260;101321.503759399
07661;101720;99730;100819.317406143
07690;103370;98160;101315.993150685
07747;103020;98230;101253.83744856
07761;103270;98860;101590.471794872
07790;103680;98610;101508.607768993
