
7591 6.502333 44.565667 871

7471 3.764 45.0745 833

7558 3.0195 44.1185 712

7627 1.106833 43.005333 414

7434 1.175 45.861167 402

7621 0 43.188 360

7181 5.959833 48.581 336

7460 3.149333 45.786833 331

7299 7.51 47.614333 263

7535 1.396667 44.745 260

7481 5.077833 45.7265 235

7280 5.088333 47.267833 219

7255 2.359833 47.059167 161

7037 1.181667 49.383 151

7190 7.640333 48.5495 150

61997 51.856667 -46.4325 146

7139 0.110167 48.4455 143

7335 0.314333 46.593833 123

7661 5.940833 43.079333 115

7168 4.02 48.324667 112

7240 0.727333 47.4445 108

81415 -54.028333 3.640167 106

7072 4.155333 49.209667 095

7110 -4.412 48.444167 094

7149 2.384333 48.716833 089

7577 4.733 44.581167 073

7005 1.834 50.136 069

7027 -0.456167 49.18 067

7607 -0.500167 43.909833 059

7117 -3.473167 48.825833 055

7015 3.0975 50.57 047

78894 -62.852167 17.9015 044

89642 140.001 -66.663167 043

7747 2.872833 42.737167 042

7130 -1.734 48.068833 036

7207 -3.218333 47.294333 034

61998 70.243333 -49.352333 029

61996 77.569167 -37.795167 027

7222 -1.608833 47.15 026

71805 -56.179167 46.766333 021

7314 -1.4115 46.046833 011

7790 9.485167 42.540667 010

7650 5.216 43.437667 009

61980 55.528667 -20.8925 008

61976 54.520667 -15.887667 007

7020 -1.939833 49.725167 006

7761 8.792667 41.918 005

81405 -52.365333 4.822333 004

61968 47.289667 -11.582667 003

7643 3.963167 43.577 002
