07005;104000;96100;100744.547100884
07015;104280;96590;101031.489680115
07020;104780;96330;101450.316043579
07027;104040;95750;100849.873187269
07037;102920;94950;99831.5614939834
07072;103530;96260;100523.465879631
07110;103610;95240;100510.720557448
07117;104120;95640;100944.276131389
07130;104250;95580;101215.233335416
07139;102910;94640;99959.3930221443
07149;103560;96010;100599.745107815
07168;103070;96040;100290.98669243
07181;100290;93580;97633.6463586531
07190;102740;95800;99910.5498496994
07207;104110;95290;101198.763772324
07222;104170;95960;101396.499361311
07240;103050;95710;100370.592955723
07255;102210;95470;99755.2069567386
07280;101540;95100;99034.0029509638
07299;101170;94570;98492.2268986158
07314;104060;96840;101500.148525896
07335;102730;95820;100306.776828584
07434;99230;92950;96998.3545842816
07460;100170;93950;97875.1049852266
07471;94100;88550;92142.1113491713
07481;101210;95170;98887.9082666002
07510;103690;97000;101197.338196783
07535;100960;94960;98683.4627285513
07558;95510;90030;93451.0029741188
07577;103030;97320;100801.974808256
07591;93520;88160;91588.5661120841
07607;103560;97290;101109.891311197
07621;99840;93670;97529.5606845659
07627;99290;93100;96953.9203137255
07630;102440;96210;100005.54274676
07643;103780;98150;101568.140594557
07650;103320;97740;101200.473936601
07661;102060;96470;99939.2046241174
07690;103420;97650;101189.130746455
07747;103460;97430;101163.952776563
07761;103600;98330;101453.320441644
07790;103680;97800;101380.467222587
